"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"PCF11",0,0,0,0,8,0,0,0,0,8,8,8
"PIK3CG",0,0,0,0,8,0,0,0,0,8,8,8
"PKD1",0,0,0,0,8,0,0,0,0,8,8,8
"POTEE",0,0,0,0,7,1,0,0,0,8,8,8
"PSG6",1,0,0,0,7,0,0,0,0,8,8,8
"PTCHD2",0,0,0,0,8,0,0,0,0,8,8,8
"SCN5A",0,0,0,0,8,0,0,0,0,8,8,8
"SPEF2",0,0,0,0,5,1,0,2,0,8,8,8
"SRRM2",0,0,1,0,6,0,0,1,0,8,8,8
"SVEP1",0,0,0,0,8,0,0,0,0,8,8,8
"TANC1",0,0,0,0,8,0,0,0,0,8,8,8
"TENM2",1,0,0,0,6,0,0,1,0,8,8,8
"WDR49",0,0,0,0,7,0,0,1,0,8,8,8
"ZEB1",0,0,0,0,8,0,0,0,0,8,8,8
"ZNF423",1,1,0,0,6,0,0,0,0,8,8,8
"ANK1",1,0,0,0,6,3,0,0,0,10,7,7
"ERBB4",0,0,0,0,8,2,0,0,0,10,7,7
"ARID1A",1,1,0,0,3,3,0,1,0,9,7,7
"DCAF12L2",0,0,0,0,9,0,0,0,0,9,7,7
"LAMA5",1,0,0,0,8,0,0,0,0,9,7,7
"MAGEC3",0,0,0,0,8,1,0,0,0,9,7,7
"OR4A15",2,0,0,0,6,1,0,0,0,9,7,7
"OR8I2",2,0,0,0,6,1,0,0,0,9,7,7
"SLIT3",0,0,0,0,9,0,0,0,0,9,7,7
"TIAM1",0,0,0,0,8,1,0,0,0,9,7,7
"ABCB11",2,0,0,0,5,0,0,1,0,8,7,7
"ANKRD30B",0,0,0,0,7,1,0,0,0,8,7,7
"ASH1L",0,0,0,0,7,1,0,0,0,8,7,7
"BCOR",0,0,0,0,7,1,0,0,0,8,7,7
"BSN",1,0,0,0,7,0,0,0,0,8,7,7
"C1orf94",0,0,0,0,8,0,0,0,0,8,7,7
"CDH6",0,0,0,0,7,1,0,0,0,8,7,7
"CHD7",0,0,0,0,8,0,0,0,0,8,7,7
"CNTLN",0,0,0,0,6,1,0,1,0,8,7,7
"CNTN3",1,0,0,0,6,0,0,1,0,8,7,7
"CNTN5",0,0,0,0,6,2,0,0,0,8,7,7
"COL1A2",0,0,0,0,7,0,0,1,0,8,7,7
"COL21A1",0,0,0,0,6,2,0,0,0,8,7,7
"CR1",0,0,0,0,7,0,0,1,0,8,7,7
"DIDO1",0,0,0,0,8,0,0,0,0,8,7,7
"F8",0,0,0,0,7,1,0,0,0,8,7,7
"FAM47B",0,0,0,0,6,2,0,0,0,8,7,7
"FCRL2",0,0,0,0,8,0,0,0,0,8,7,7
"GRIK4",0,1,0,0,7,0,0,0,0,8,7,7
"IL16",1,0,0,0,7,0,0,0,0,8,7,7
"KCNU1",0,0,0,0,6,1,0,1,0,8,7,7
"L1CAM",0,0,0,0,7,1,0,0,0,8,7,7
"MACF1",0,0,0,0,7,1,0,0,0,8,7,7
"MMP16",0,0,0,0,8,0,0,0,0,8,7,7
"MORC1",0,0,0,0,7,1,0,0,0,8,7,7
"MYH6",1,0,0,0,7,0,0,0,0,8,7,7
"MYO3A",0,1,0,0,6,0,0,1,0,8,7,7
"NCOR2",0,0,0,0,7,0,0,1,0,8,7,7
"NES",0,0,0,0,7,1,0,0,0,8,7,7
"NFASC",0,1,0,0,6,0,0,1,0,8,7,7
"NLRP8",0,0,1,0,7,0,0,0,0,8,7,7
"NPAS4",0,0,0,0,8,0,0,0,0,8,7,7
"NRXN2",0,0,0,0,5,2,0,1,0,8,7,7
"OGDHL",0,0,0,0,7,0,0,1,0,8,7,7
"OR5W2",1,0,0,0,5,1,0,0,1,8,7,7
"PCDH18",0,0,0,0,7,1,0,0,0,8,7,7
"PCDHB4",0,0,0,0,8,0,0,0,0,8,7,7
"PDE10A",0,0,0,0,7,1,0,0,0,8,7,7
"PRB2",0,1,0,0,7,0,0,0,0,8,7,7
"RANBP2",0,0,0,0,7,1,0,0,0,8,7,7
"SCN9A",0,0,0,0,8,0,0,0,0,8,7,7
"SETD2",3,0,0,0,4,1,0,0,0,8,7,7
"SEZ6L",0,0,0,0,7,1,0,0,0,8,7,7
"TRIM51",0,0,0,0,8,0,0,0,0,8,7,7
"TYR",0,0,0,0,8,0,0,0,0,8,7,7
"UGT3A1",0,1,0,0,6,1,0,0,0,8,7,7
"VCAM1",1,0,0,0,7,0,0,0,0,8,7,7
"ABCA9",0,0,0,0,6,0,0,1,0,7,7,7
"ADAMTS16",0,0,0,0,7,0,0,0,0,7,7,7
